molecule,S0_eV,T_ref_eV,S1_eV,S2_eV,S3_eV,S4_eV,S5_eV,S6_eV,S7_eV,S8_eV,S9_eV
acetaldehyde,0.000000,3.252100,4.181429,6.330988,6.964864,7.248915,7.340668,7.991851,8.185287,8.524041,8.525819
acetylene,0.000000,5.377766,6.321864,6.530578,7.439247,7.797644,8.582154,8.637996,8.787528,8.805276,9.619879
ammonia,0.000000,6.048980,6.737344,7.703418,7.703418,8.808997,9.540771,9.604434,9.604435,10.294992,10.294993
carbon_monoxide,0.000000,5.941502,7.846621,8.368575,9.528404,10.542519,11.107453,11.342316,11.368911,12.037160,13.219462
cyclopropene,0.000000,3.951116,6.397044,6.509803,6.873598,6.915490,6.916898,7.205023,7.509584,7.983946,8.242532
diazomethane,0.000000,2.146265,2.751861,5.214450,5.338497,6.210907,6.289577,7.259660,7.279258,7.693019,7.925922
dinitrogen,0.000000,7.761078,8.884081,9.056091,9.413497,11.822008,12.667115,13.107647,13.120726,13.365717,13.376807
ethylene,0.000000,4.170178,6.712291,7.342417,7.358332,7.644416,8.037525,8.219141,8.409568,8.577442,9.413359
formaldehyde,0.000000,2.854544,3.807891,6.486659,7.411613,7.450109,7.989245,8.528074,9.049461,9.412484,9.499388
formamide,0.000000,4.564400,5.470572,6.114151,6.695717,7.145935,7.329631,7.587384,8.126924,8.415522,8.808369
hydrogen_chloride,0.000000,7.311574,7.799997,8.117902,9.637374,10.121584,10.375454,10.485366,11.744763,11.843622,12.138409
hydrogen_sulfide,0.000000,5.696544,6.006191,6.347812,7.545398,7.918181,8.297714,8.658551,9.235076,9.434862,9.608531
ketene,0.000000,3.277932,3.856854,5.694513,6.786442,6.858093,6.889991,7.722500,8.063306,8.198227,8.320989
methanimine,0.000000,4.022322,5.082082,6.554062,7.270269,7.627990,7.929875,8.138258,8.666519,9.150193,9.228342
nitrosomethane,0.000000,0.649342,1.885718,4.774603,6.123070,6.259140,6.997137,7.104877,7.156250,8.001634,8.246745
streptocyanine_c1,0.000000,5.126837,7.585309,8.176344,8.988984,9.166691,10.017862,10.542658,10.554767,10.583643,10.784707
thioformaldehyde,0.000000,1.459549,2.087808,5.520963,5.683979,6.269973,6.425420,6.674026,6.895603,7.188562,7.565957
water,0.000000,6.779002,7.672563,8.742673,9.780640,10.042184,10.751619,10.849351,11.051924,11.914564,12.295806
